1 941 3.70818
1 534 0.475048
1 1907 60.1487
1 1550 27.1892
1 1809 48.8668
1 1663 35.8617
1 1799 48.0768
1 1998 69.915
1 1115 8.44177
1 964 3.16309
2 740 0.750077
2 1384 6.9046
2 1637 18.1125
2 1640 13.09
2 1880 22.5256
2 541 0.302305
2 1683 19.2606
2 984 1.96405
2 1556 11.2709
2 760 0.810556
3 647 0.402221
3 543 0.205973
3 1012 1.61598
3 1421 7.11325
3 831 1.20283
3 945 1.91552
3 1593 10.8721
3 665 0.439994
3 959 1.91639
3 1411 6.84477
4 1570 7.82693
4 2034 19.6351
4 1447 5.72165
4 1640 6.89845
4 2035 19.5806
4 1238 3.30601
4 1211 3.37305
4 1423 5.41005
4 1676 8.01933
4 1664 8.9704
5 989 1.63912
5 1931 14.8473
5 1926 14.8371
5 828 0.647091
5 601 0.291772
5 2005 16.1235
5 885 1.05992
5 1281 3.6157
5 1897 13.415
5 1645 8.03195
6 789 0.634051
6 945 1.2467
6 1112 1.4149
6 831 0.94443
6 1600 5.82136
6 1177 2.52777
6 1761 9.82291
6 695 0.447091
6 1970 13.5735
6 1048 1.24816
7 755 0.567404
7 534 0.162961
7 1163 2.07398
7 1970 12.4391
7 1322 3.34323
7 1278 2.96784
7 879 0.960756
7 1789 8.707
7 1084 1.46753
7 679 0.401455
8 775 0.648305
8 755 0.59081
8 1447 4.70201
8 1361 3.43362
8 1772 7.51721
8 1528 3.85704
8 1273 2.83946
8 1178 2.16133
8 2046 13.5676
8 2040 10.9745
9 1019 1.40388
9 1658 6.58145
9 1284 2.2333
9 706 0.413931
9 539 0.199737
9 1756 6.6719
9 804 0.493778
9 837 0.759823
9 965 1.21464
9 1729 8.02871
10 1373 3.41368
10 1618 5.98397
10 1595 5.7844
10 1773 8.12513
10 1169 2.12729
10 1303 2.98239
10 1054 1.5177
10 1928 9.11967
10 1287 2.83743
10 917 1.08241
11 943 1.135
11 1126 1.85026
11 885 0.906764
11 1050 1.47283
11 1574 5.47714
11 954 1.12711
11 1625 6.20165
11 572 0.169198
11 1066 1.65145
11 1241 2.57615
12 615 0.267693
12 1780 7.33501
12 1456 3.17574
12 1245 2.54732
12 905 0.948693
12 1498 4.5849
12 1242 2.41493
12 736 0.350494
12 1676 5.54112
12 1584 4.44143
13 615 0.2638
13 1124 1.4553
13 1154 1.98264
13 1435 3.8175
13 1283 2.71293
13 1662 6.13603
13 722 0.453621
13 1172 1.62842
13 1713 6.99349
13 1190 2.12899
14 667 0.351529
14 582 0.216538
14 985 1.22019
14 863 0.796686
14 1951 10.1013
14 1194 2.0771
14 1114 1.74024
14 631 0.276596
14 1136 1.414
14 1646 6.20532
15 1979 10.7837
15 1773 7.49534
15 1873 9.56568
15 771 0.564831
15 1637 5.8121
15 1053 1.47351
15 1702 6.50621
15 1514 4.53509
15 1924 9.10045
15 1661 6.0908
16 869 0.793443
16 2014 11.574
16 810 0.625541
16 532 0.143079
16 1901 12.0517
16 1967 11.8253
16 1480 3.479
16 2011 12.0367
16 1148 1.69192
16 2003 11.4896
